user_screen_name,created_at,tweet_text
pinchofzong,3/30/2019 11:55,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
bristra56,3/30/2019 11:53,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
littlenic1976,3/30/2019 11:48,"b""@CPWTweets It's all about the camera for me #GalaxyS10"""
,,
AmeduSage,3/30/2019 11:47,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
VijayYadavd7,3/30/2019 11:47,b'RT @SamsungMobileIN: The Next Generation #GalaxyS10 is the future of smartphones. But the future wouldn\xe2\x80\x99t be so bright if there is no energ\xe2\x80\xa6'
,,
Vjsiva05,3/30/2019 11:46,b'RT @SamsungMobileIN: The Next Generation #GalaxyS10 is the future of smartphones. But the future wouldn\xe2\x80\x99t be so bright if there is no energ\xe2\x80\xa6'
,,
pncwn,3/30/2019 11:45,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
KailashMegvans,3/30/2019 11:44,b'RT @SamsungMobileIN: The Next Generation #GalaxyS10 is the future of smartphones. But the future wouldn\xe2\x80\x99t be so bright if there is no energ\xe2\x80\xa6'
,,
blackhawkPPT,3/30/2019 11:43,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
Mahabir36352446,3/30/2019 11:41,b'RT @SamsungMobileIN: The Next Generation #GalaxyS10 is the future of smartphones. But the future wouldn\xe2\x80\x99t be so bright if there is no energ\xe2\x80\xa6'
,,
ap3x_predat0r21,3/30/2019 11:41,"b""RT @SamsungMobileUS: @ap3x_predat0r21 You're in. \xe2\x9c\x85 \n\nFirst things first, check out all that the #GalaxyS10 has to offer. Keep your \xf0\x9f\x91\x80 peeled\xe2\x80\xa6"""
,,
ap3x_predat0r21,3/30/2019 11:40,"b""RT @SamsungMobileUS: @ap3x_predat0r21 Today's the day. The #GalaxyS10 is waiting for you, go out and get yours now. Reply #stop to unsubscr\xe2\x80\xa6"""
,,
JeanArched,3/30/2019 11:37,b'RT @CPWTweets: Still looking for the perfect match? We can help \xf0\x9f\x98\x89 Tell us in the comments below which feature of the Galaxy S10 you \xf0\x9f\x92\x95 for y\xe2\x80\xa6'
,,
